nama;tgl;judul;image;link
kompas.com;2022-09-27 20:50:00;3.817 Anak di Kabupaten Semarang Alami Stunting, 10 Desa Masuk Kategori Rawan;https://asset.kompas.com/crops/e1_4tAYbvr56YZ4UPLxNEdSsWLM=/0x38:960x678/230x153/data/photo/2021/01/14/600007dbefcc9.jpg;http://regional.kompas.com/read/2021/04/29/205019978/3817-anak-di-kabupaten-semarang-alami-stunting-10-desa-masuk-kategori-rawan
kompas.com;2022-09-27 20:49:00;Stunting Wonogiri Turun Jadi 12,8 Persen, Bupati Jekek: Kami Rangking Tiga Se-Jateng Kasus Stunting Terendah;https://asset.kompas.com/crops/duAMQrg1exU_BiKI_KjnQ0pSeQo=/0x0:800x533/230x153/data/photo/2022/09/12/631f2e68ae1f5.jpg;http://regional.kompas.com/read/2022/09/12/20490861/stunting-wonogiri-turun-jadi-128-persen-bupati-jekek-kami-rangking-tiga-se
kompas.com;2022-09-27 20:45:00;Direktur Gizi Kemenkes: Penanganan Stunting Harus Disesuaikan Versi Kearifan Lokal;https://asset.kompas.com/crops/l4gs2Jw8A7ImTq7vgtFNyQNx8wU=/8x76:976x560/230x153/data/photo/2020/08/30/5f4b8b01f01d1.jpg;http://www.kompas.com/sains/read/2022/01/28/204500323/direktur-gizi-kemenkes--penanganan-stunting-harus-disesuaikan-versi
kompas.com;2022-09-27 20:42:00;Cegah Stunting, Cukupi Kebutuhan Protein Hewani Balita;https://asset.kompas.com/crops/xhKbdewt8NsYGxN9XPQ9biTiOYY=/334x188:1280x819/230x153/data/photo/2020/09/26/5f6ee2d69aeeb.jpg;http://lifestyle.kompas.com/read/2022/06/07/204228420/cegah-stunting-cukupi-kebutuhan-protein-hewani-balita
kompas.com;2022-09-27 20:42:00;Eri Cahyadi Ingin Surabaya Zero Stunting dan Kematian Ibu dan Anak;https://asset.kompas.com/crops/3i7A70zcztsdSwIVje5jboemIz8=/0x0:0x0/230x153/data/photo/2021/02/25/6037b96c2faf8.jpg;http://surabaya.kompas.com/read/2021/03/12/204209578/eri-cahyadi-ingin-surabaya-zero-stunting-dan-kematian-ibu-dan-anak
kompas.com;2022-09-27 20:41:00;Angka Stunting di Jabar Melebihi Nasional;https://asset.kompas.com/crops/MaLG45PgiUulqsPj6tSyCdAXvK0=/0x0:0x0/230x153/data/photo/2019/11/12/5dcaa60f803eb.jpeg;http://regional.kompas.com/read/2019/11/12/20414761/angka-stunting-di-jabar-melebihi-nasional
kompas.com;2022-09-27 20:35:00;Selama 3 Bulan Terakhir, Kasus Stunting di Surabaya Turun Drastis;https://asset.kompas.com/crops/BDhCB-pY44Cjk49sPwX5QeZ2OXo=/0x0:0x0/230x153/data/photo/2022/01/26/61f1381eadb28.jpg;http://surabaya.kompas.com/read/2022/01/26/203501778/selama-3-bulan-terakhir-kasus-stunting-di-surabaya-turun-drastis
kompas.com;2022-09-27 20:33:00;"Awas ""Stunting"", Orangtua Wajib Amati Kenaikan Berat Badan Anak";https://asset.kompas.com/crops/Qq0UkhUIl77H9bUKrlFMfLKDSUc=/0x28:1000x694/230x153/data/photo/2017/11/27/3218770605.jpg;http://sains.kompas.com/read/2018/02/10/203300223/awas-stunting-orangtua-wajib-amati-kenaikan-berat-badan-anak
kompas.com;2022-09-27 20:29:00;Tekan Masalah Stunting di Indonesia, Bank Dunia Didukung Berbagai Lembaga Luncurkan Buku;https://asset.kompas.com/crops/YB9mhZ4qbgJuBUUq77KASkUJudw=/63x0:736x449/230x153/data/photo/2022/06/06/629dfb4481bd2.jpg;http://edukasi.kompas.com/read/2022/06/06/202915571/tekan-masalah-stunting-di-indonesia-bank-dunia-didukung-berbagai-lembaga
kompas.com;2022-09-27 20:28:00;"Atasi ""Stunting"" di Indonesia, Menkes Juga Andalkan Dana Desa";https://asset.kompas.com/crops/NDX9Q6KqSZlYLRhfIDNTgiXys18=/33x0:618x390/230x153/data/photo/2016/11/30/10441292016-11-30-10.35-.11-780x390.jpg;http://nasional.kompas.com/read/2018/04/05/20281711/atasi-stunting-di-indonesia-menkes-juga-andalkan-dana-desa
